"","true_value","reported_outbreak_bins","est_05","est_10","est_15","est_20"
"1",0.25,"10-99","2150 (53.8%)","3296 (82.4%)","3830 (95.8%)","3957 (98.9%)"
"2",0.25,"100-499","3760 (94%)","3995 (99.9%)","4000","4000"
"3",0.25,"500-999","3959 (99%)","4000","4000","4000"
"4",0.5,"10-99","2022 (50.5%)","3282 (82%)","3763 (94.1%)","3923 (98.1%)"
"5",0.5,"100-499","2913 (72.8%)","3893 (97.3%)","3994 (99.9%)","4000"
"6",0.5,"500-999","3860 (96.5%)","4000","4000","4000"
"7",0.5,"1000+","3986 (99.7%)","4000","4000","4000"
"8",0.75,"10-99","1771 (44.3%)","2958 (74%)","3358 (84%)","3736 (93.4%)"
"9",0.75,"100-499","3109 (77.7%)","3919 (98%)","3997 (99.9%)","4000"
"10",0.75,"500-999","3965 (99.1%)","4000","4000","4000"
"11",0.75,"1000+","4000","4000","4000","4000"
